Type,Host,Answer,TTL,Priority
A,floshake.io,185.199.108.153,3600,
A,floshake.io,185.199.109.153,3600,
A,floshake.io,185.199.110.153,3600,
A,floshake.io,185.199.111.153,3600,
CNAME,www.floshake.io,dereksimmons23.github.io,3600,
